"RelativePath","SHA256","ProjectOwner","GeneratedUtc"
".editorconfig","D5678AF6ACB079885B873C6BA538FDF7DEA455AC2313E7CC31BAF4C21749B829","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
".gitignore","3D0D6691BB852885E22CB9E2F688668702E8137F3C9EE450BB09FF468BBD662E","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/architecture-decisions.md","22D61EEDE9143239737718F6A3529B75D99092E4A9525C19E80A10321A969688","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/architecture-diagram.md","072B6AA6D13DC5D84C8BB959F231C92CBAEEC473A719008C42B2DD85DE2F372D","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/business-scenario.md","9E6F575ED9222DF926727A72556BB4B6A8DDD6AFA30A8DF48E457E113C5C2AEB","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/project-charter.md","8ABCE4BE583B4623B572510EA9E693A50D0950EB07CF2E81100680185431E2DD","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/risk-register.md","73F7648B4A5D6C7116E9BC309FF951097F909E56F7AA87A62A7669AEA1C69421","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/roadmap.md","34A9E254814027B1986ED491D6917867C164A18F6A2E07E3F5B8D8892399728D","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"architecture/scope.md","E32A65C6AF984556DDA8C54C7A57D71B3E21B99CB67C839F5520DAFFF7DBD66A","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"AUTHORSHIP.md","632DFEBCF1C895D6725A07F38562A61BCC85DBBDCB4CC14DA4666C074A96713C","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"CHANGELOG.md","6837F6DF52270235F73F57E1818D01B1A92505A7605F68847F06DCDA7F73A774","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"CONTRIBUTING.md","55FA269AA883B63BBE72266A4654C60FEB91D356913C43408FBB36D73BE08051","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"data/fictional-users.csv","E772D74BFCFAB65444EC379ADA0C4519508FC435A7529898C638BBFB0AA84BD0","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"diagrams/README.md","D7699AF4F4C46A6FFC86BE3CFACF74F60C207536BC4054192D63F42EEF51D3D9","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/access-matrix.md","29FBDAE2F5AC20553D53E9AAF4C46445B036CD4625F35E84CEDD6342DEDE6454","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/automation-standards.md","3546CB086E4FA6EA86F40D8792A6468913165DB25877ADA81E52960BFECF1430","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/endpoint-management-design.md","27F36EC4AED1D24E029EB6A18FDB756223E7A4539611414FF6839A1A08C4B54B","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/endpoint-policy-catalogue.md","F4AE42E83C659DC21578ECBDC4745DFDFCDBDBE1B422D0530DB7F4C9C9C42A47","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/identity-and-access.md","327E51702C0181B547533E6196B5212DFCD57DA697D4349F52B1003B4C6DE6D3","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/implementation-status.md","F8606D45FE11802F55BF3A3C8E416C96412D3E8EFDE2CA8015B6F77A1076E6CD","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/lab-implementation-options.md","ED3B7C907E502CD94C5B247AB0B290B2C2A714E0A23FDF6D1EE58379CBF8B70E","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/recruitment-positioning.md","86448225EDF2A29C0640C866CA9578E8046F783044480AFC7A42E46A1D4931ED","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/repository-quality-review.md","3085A7DE0610E2628B0B5556911194075187A327C2BEC7F627C7A13FC616D1C9","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/requirements-matrix.md","CC33D80ED9DE0DE513AB7AC8E95B712EAEDF55424D4963C0C0E75D4BB2949BE0","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
"documentation/ticketing-design.md","00338B3B1FC0D16253E455F8CE1229D37567FCE21F94227A88C41AB55FB0F33C","Alex S Beirigo","2026-08-09T10:34:08.2399730Z"
